generation,source,target,fitness,gain
5,112,151,117.354347,-4.379829
5,150,152,124.999603,0.000000
5,150,152,124.999603,0.000000
5,138,153,119.253052,-1.605804
5,121,153,119.253052,-1.605804
5,108,154,122.064423,-1.207672
5,117,154,122.064423,-1.207672
5,138,155,120.444786,-1.138168
5,139,155,120.444786,-1.138168
5,125,156,129.002380,1.749374
5,80,156,129.002380,1.749374
5,113,157,125.035843,2.858170
5,128,157,125.035843,2.858170
5,138,158,118.117447,-2.741409
5,121,158,118.117447,-2.741409
5,117,159,122.018433,-1.065201
5,150,159,122.018433,-1.065201
5,66,160,128.548996,5.643906
5,102,160,128.548996,5.643906
5,143,161,122.368942,-0.862175
5,130,161,122.368942,-0.862175
5,141,162,122.929253,-0.941360
5,112,162,122.929253,-0.941360
5,137,163,127.428017,5.264145
5,68,163,127.428017,5.264145
5,144,164,124.625580,7.967712
5,120,164,124.625580,7.967712
5,66,165,127.524796,6.015457
5,130,165,127.524796,6.015457
5,130,166,126.108330,2.877213
5,143,166,126.108330,2.877213
5,112,167,125.050674,2.788467
5,140,167,125.050674,2.788467
5,144,168,124.780624,3.812119
5,113,168,124.780624,3.812119
5,102,169,118.025314,-5.690613
5,121,169,118.025314,-5.690613
5,66,170,129.399155,6.460426
5,108,170,129.399155,6.460426
5,136,171,125.391510,0.222237
5,130,171,125.391510,0.222237
5,144,172,122.522552,3.590569
5,137,172,122.522552,3.590569
5,138,173,127.413322,4.391426
5,83,173,127.413322,4.391426
5,125,174,127.916878,2.632652
5,42,174,127.916878,2.632652
5,138,175,128.097733,7.041306
5,130,175,128.097733,7.041306
5,125,176,123.737709,1.428940
5,117,176,123.737709,1.428940
5,128,177,117.598351,-0.268684
5,120,177,117.598351,-0.268684
5,112,178,121.734596,-0.527611
5,140,178,121.734596,-0.527611
5,117,179,123.573326,0.912720
5,132,179,123.573326,0.912720
5,66,180,129.971771,7.221504
5,150,180,129.971771,7.221504
6,144,181,118.283493,-0.648491
6,137,181,118.283493,-0.648491
6,150,182,115.322540,-6.803787
6,153,182,115.322540,-6.803787
6,143,183,122.906296,2.303162
6,120,183,122.906296,2.303162
6,121,184,122.122604,0.000000
6,121,184,122.122604,0.000000
6,144,185,120.377899,2.128525
6,155,185,120.377899,2.128525
6,171,186,123.825691,-0.842308
6,143,186,123.825691,-0.842308
6,148,187,119.467400,0.233345
6,120,187,119.467400,0.233345
6,128,188,121.653503,-1.493057
6,136,188,121.653503,-1.493057
6,152,189,119.577171,-3.525803
6,148,189,119.577171,-3.525803
6,158,190,118.975716,0.680840
6,128,190,118.975716,0.680840
6,148,191,130.231705,10.997650
6,120,191,130.231705,10.997650
6,151,192,118.938637,-0.799843
6,121,192,118.938637,-0.799843
6,178,193,117.833900,-3.255791
6,155,193,117.833900,-3.255791
6,167,194,120.711304,-3.278656
6,162,194,120.711304,-3.278656
6,125,195,117.634193,-4.341209
6,66,195,117.634193,-4.341209
6,178,196,116.419846,-6.419701
6,143,196,116.419846,-6.419701
6,120,197,125.230446,8.572578
6,144,197,125.230446,8.572578
6,151,198,126.744881,6.883232
6,161,198,126.744881,6.883232
6,128,199,118.219757,-1.921402
6,137,199,118.219757,-1.921402
6,148,200,121.206345,0.000000
6,148,200,121.206345,0.000000
6,121,201,114.049980,-5.810493
6,177,201,114.049980,-5.810493
6,140,202,122.710594,2.873375
6,158,202,122.710594,2.873375
6,178,203,131.992142,12.325668
6,177,203,131.992142,12.325668
6,153,204,112.195892,-5.457611
6,144,204,112.195892,-5.457611
6,158,205,119.411758,-2.146767
6,150,205,119.411758,-2.146767
6,66,206,116.388206,-2.539436
6,151,206,116.388206,-2.539436
6,143,207,116.648407,-7.192696
6,176,207,116.648407,-7.192696
6,178,208,120.569824,-1.202477
6,137,208,120.569824,-1.202477
6,177,209,126.893425,7.843788
6,66,209,126.893425,7.843788
6,144,210,121.902138,3.096657
6,140,210,121.902138,3.096657
7,144,211,116.983032,-0.749832
7,205,211,116.983032,-0.749832
7,204,212,113.173920,-2.712616
7,189,212,113.173920,-2.712616
7,155,213,121.963707,2.924217
7,195,213,121.963707,2.924217
7,153,214,110.407516,-8.706863
7,190,214,110.407516,-8.706863
7,201,215,113.037704,-5.048584
7,121,215,113.037704,-5.048584
